,PGM_SYS_ACRNMS,PERMIT_TYPE,PERMID_ID,PRIMARY_NAME,LATITUDE83,LONGITUDE83,HUC_CODE,FRS_FACILITY_DETAIL_REPORT_URL
18821,NPDES:ORR108008,NPDES,ORR108008,USBOR - KLAMATH BASIN AREA OFFICE,42.2216,-121.79,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069560148
18861,NPDES:ORR10C664,NPDES,ORR10C664,WORK SKILLS & CAMPUS CENTRAL,42.19636,-121.69889,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069588681
18862,NPDES:ORR10F121,NPDES,ORR10F121,WYOMING STREET IMPROVEMENTS,42.1889,-121.7024,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070231953
18865,NPDES:ORR10F822,NPDES,ORR10F822,BOGATAY CONSTRUCTION HQ,42.2591,-121.7953,18010203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070626942
18890,NPDES:ORR10E847,NPDES,ORR10E847,BAUM INDUSTRIAL PARK INFRASTRUCTURE IMPROVEMENTS,45.352259,-118.017094,17060104,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070228968
18892,NPDES:ORR10E891,NPDES,ORR10E891,BEAVER CREEK DAM FISH PASSAGE PROJECT,45.138,-118.2003,17060104,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070231210
18895,NPDES:ORR10F448,NPDES,ORR10F448,BIRD TRACK SPRINGS FISH  HABITAT ENHANCEMENT PROJECT,45.2361,-118.4571,17060104,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070562858
18910,NPDES:ORR10E458,NPDES,ORR10E458,CENTRAL ELEMENTARY,45.318,-118.099,17060104,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069599312
18929,NPDES:ORR10F451,NPDES,ORR10F451,DRY CREEK HABITAT RESTORATION,45.4931,-118.0283,17060104,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070503154
18939,NPDES:ORR10F333,NPDES,ORR10F333,EASTERN OREGON UNIVERSITY TRACK AND STADIUM,45.317,-118.092,17060104,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070264441
